City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,mimizan,44.2006,-1.2289,11.83,94,65,1.9,FR,1731299035
299,hasaki,35.7333,140.8333,18.78,85,100,6.38,JP,1731299037
300,saint-philippe,-21.3585,55.7679,24.96,78,31,4.51,RE,1731299038
301,turpan,42.9333,89.1667,12.23,39,66,0.83,CN,1731299039
302,nar'yan-mar,67.6713,53.087,-11.66,92,81,1.97,RU,1731299041
303,broome,42.2506,-75.833,8.21,94,100,4.12,US,1731299042
304,wangkui,46.8333,126.5,3.83,24,99,6.46,CN,1731299043
305,sunland park,31.7965,-106.58,14.34,37,0,2.06,US,1731299044
306,dauphin,51.1494,-100.0502,0.08,93,100,6.17,CA,1731299045
307,nikolayevsk-on-amure,53.1406,140.73,-2.51,79,100,7.29,RU,1731299046
308,haenam,34.5711,126.5989,19.14,52,37,1.6,KR,1731299048
309,vila franca do campo,37.7167,-25.4333,20.23,99,68,6.17,PT,1731299049
310,nabire,-3.3667,135.4833,31.0,61,91,3.11,ID,1731299050
311,kallar kahar,32.7833,72.7,22.44,40,0,2.11,PK,1731299051
312,bowen,-20.0167,148.2333,27.2,70,28,6.21,AU,1731299052
313,petatlan,17.5167,-101.2667,25.67,87,58,1.43,MX,1731298848
314,misratah,32.3754,15.0925,20.64,74,93,3.72,LY,1731299055
315,copalillo,18.0333,-99.1167,21.66,74,7,0.87,MX,1731299056
316,egilsstadir,65.2653,-14.3948,6.95,53,40,8.75,IS,1731299057
317,juarez,31.7333,-106.4833,14.55,36,0,2.06,MX,1731298804
318,sabang,5.8933,95.3214,27.71,77,81,1.97,ID,1731299059
319,kanpur,26.4667,80.35,27.04,42,0,1.93,IN,1731298895
320,nogliki,51.8333,143.1667,-0.37,61,98,10.23,RU,1731298535
321,taibet,33.0829,6.3998,15.88,60,1,4.61,DZ,1731299064
322,rio grande,-32.035,-52.0986,19.48,84,1,6.55,BR,1731299028
323,manismata,-2.4667,111.0333,23.7,96,100,1.09,ID,1731299066
324,thinadhoo,0.5333,72.9333,28.23,72,67,5.16,MV,1731299068
325,bhag,29.0415,67.8239,28.06,13,5,2.77,PK,1731299069
326,khromtau,50.2503,58.4347,-7.17,92,60,3.91,KZ,1731299070
327,lahaina,20.8783,-156.6825,25.45,78,14,5.12,US,1731299071
328,myrtle beach,33.6891,-78.8867,23.02,83,0,4.63,US,1731299006
329,sao vicente,-23.9631,-46.3919,18.88,26,0,1.45,BR,1731299055
330,kolonia,50.9333,6.95,10.07,92,100,0.51,DE,1731298825
331,alice springs,-23.7,133.8833,31.75,33,74,3.6,AU,1731299076
332,zeya,53.75,127.2667,-5.48,59,71,0.72,RU,1731299077
333,midvagur,62.0511,-7.1939,8.46,76,75,11.32,FO,1731299078
334,kavaratti,10.5669,72.642,28.08,73,6,3.27,IN,1731299079
335,dwarka,22.2394,68.9678,29.02,51,0,2.84,IN,1731299081
336,berezovka,53.7214,25.4993,1.01,82,78,1.66,BY,1731299082
337,cooper's town,26.8667,-77.5167,25.09,87,91,8.75,BS,1731299083
338,san fernando,15.0286,120.6898,29.85,80,100,6.65,PH,1731299084
339,trairi,-3.2778,-39.2689,25.24,76,55,5.19,BR,1731298904
340,tual,-5.6667,132.75,28.8,73,100,6.71,ID,1731299086
341,nha trang,12.25,109.1833,30.0,62,6,3.63,VN,1731299088
342,necochea,-38.5473,-58.7368,10.11,88,50,2.77,AR,1731299089
343,chelak,39.9203,66.8611,7.42,61,0,0.98,UZ,1731299090
344,villa gesell,-37.2639,-56.973,13.65,88,100,4.89,AR,1731299091
345,punta del este,-34.9667,-54.95,18.26,86,0,1.79,UY,1731299092
346,coronel dorrego,-38.7187,-61.2873,9.02,67,0,3.54,AR,1731299093
347,jayapura,-2.5333,140.7,32.66,63,100,2.55,ID,1731299095
348,youssoufia,32.2463,-8.5294,15.18,89,2,3.23,MA,1731299097
349,havre,49.5833,0.3333,12.87,100,100,2.57,FR,1731299098
350,saldanha,-33.0117,17.9442,14.59,83,9,4.39,ZA,1731299100
